accesorials_sale,accesorials_cost,cliente,carrier,name,origin,destination,distance,vehicle_type,height_change,division,creation_date,delivery_date,sale
0.0,0.0,Cliente 176,Carrier 205,Jesus Velazquez,"Zapopan,  Jalisco","Grand Prairie,  Texas",1485.3453276299467,DryVan 53,-1471.073745727539,Crossborder,2025-10-09,2025-10-15,72482.5
0.0,0.0,Cliente 60,Carrier 216,Luis Navarro,"San Nicolás de los Garza,  Nuevo León","Laredo,  Texas",209.91248424421687,DryVan 53,-367.33982849121094,Crossborder,2025-07-31,2025-08-08,16920.0
0.0,0.0,Cliente 4,Carrier 2,Luis Ortiz,"Mexicali,  Baja California","Salinas,  California",724.9325922884445,DryVan 53,11.019532680511475,Crossborder,2025-06-04,2025-06-09,36461.0
0.0,0.0,Cliente 6,Carrier 12,Blanca Rodríguez,"Apodaca,  Nuevo León","Burlington,  Ontario",2686.157057567102,DryVan 53,-343.24935150146484,Crossborder,2025-04-25,2025-05-01,90068.0
0.0,0.0,Cliente 2,Carrier 19,Luis Ortiz,"Tepeji del Río de Ocampo,  Hidalgo","Trion,  Georgia",2133.9451471393195,DryVan 53,-1938.6688842773438,Crossborder,2025-02-12,2025-03-03,98736.0
0.0,0.0,Cliente 98,Carrier 55,Jessica Hernández,"Tepotzotlán,  Estado de México","Laredo,  Texas",866.1999217619186,DryVan 53,-2126.2515411376953,Crossborder,2025-09-05,2025-09-11,38000.0
0.0,0.0,Cliente 46,Carrier 306,Jessica Hernández,"Laredo,  Texas","Tepotzotlán,  Estado de México",866.1999217619186,DryVan 53,2126.2515411376953,Crossborder,2025-11-28,2025-12-03,24000.0
0.0,0.0,Cliente 8,Carrier 205,Juan Rojas,"Guadalajara,  Jalisco","Russellville,  Kentucky",2402.194047313226,DryVan 53,-1364.7204132080074,Crossborder,2025-04-11,2025-04-29,113719.5
1.0,2.0,Cliente 58,Carrier 132,Jessica Hernández,"Laotto,  Indiana","Huehuetoca,  Estado de México",2729.180635545991,DryVan 53,1988.3028259277344,Crossborder,2025-04-28,2025-05-27,105570.0
0.0,0.0,Cliente 4,Carrier 2,Luis Ortiz,"Mexicali,  Baja California","Imperial,  California",27.410843238846564,DryVan 53,-25.047033786773685,Crossborder,2025-07-14,2025-07-18,6531.0
0.0,0.0,Cliente 20,Carrier 97,Blanca Rodríguez,"Tijuana,  Baja California","Shelby,  Ohio",3177.359227479903,DryVan 53,313.1350784301758,Crossborder,2025-03-27,2025-04-03,114570.0
0.0,0.0,Cliente 8,Carrier 4,Juan Rojas,"Celaya,  Guanajuato","Russellville,  Kentucky",2260.7567144941986,DryVan 53,-1577.6393585205074,Crossborder,2025-02-20,2025-02-28,111289.0
0.0,0.0,Cliente 58,Carrier 135,Jessica Hernández,"Huehuetoca,  Estado de México","Chicago,  Illinois",2683.669626502698,Flatbed 53,-2071.43798828125,Crossborder,2025-01-27,2025-02-10,154759.5
0.0,0.0,Cliente 60,Carrier 216,Luis Navarro,"San Nicolás de los Garza,  Nuevo León","Laredo,  Texas",209.91248424421687,DryVan 53,-367.33982849121094,Crossborder,2025-07-16,2025-07-23,16956.0
0.0,0.0,Cliente 4,Carrier 2,Luis Ortiz,"Mexicali,  Baja California","Salinas,  California",724.9325922884445,DryVan 53,11.019532680511475,Crossborder,2025-02-13,2025-02-21,38931.0
0.0,0.0,Cliente 4,Carrier 2,Luis Ortiz,"Mexicali,  Baja California","Salinas,  California",724.9325922884445,DryVan 53,11.019532680511475,Crossborder,2025-07-28,2025-07-30,36377.6
0.0,0.0,Cliente 133,Carrier 9,Jessica Hernández,"Warren,  Michigan","Laredo,  Texas",2237.2111754249845,DryVan 53,-57.67987060546872,Crossborder,2025-09-05,2025-09-08,48400.8
0.0,0.0,Cliente 176,Carrier 205,Jesus Velazquez,"Zapopan,  Jalisco","Grand Prairie,  Texas",1485.3453276299467,DryVan 53,-1471.073745727539,Crossborder,2025-10-31,2025-11-11,73233.0
0.0,0.0,Cliente 4,Carrier 2,Luis Ortiz,"Mexicali,  Baja California","Imperial,  California",27.410843238846564,DryVan 53,-25.047033786773685,Crossborder,2025-12-22,2025-12-24,6293.0
0.0,1.0,Cliente 20,Carrier 146,Blanca Rodríguez,"Tijuana,  Baja California","Brooklyn,  Ohio",3259.5598131601055,DryVan 53,212.84325408935547,Crossborder,2025-02-28,2025-03-07,121009.0
0.0,0.0,Cliente 135,Carrier 206,Blanca Rodríguez,"Laredo,  Texas","San Francisco de los Romo,  Aguascalientes",665.0021026158871,DryVan 53,1759.7716827392574,Crossborder,2025-07-07,2025-07-19,18630.0
0.0,0.0,Cliente 98,Carrier 55,Jessica Hernández,"Tepotzotlán,  Estado de México","Laredo,  Texas",866.1999217619186,DryVan 53,-2126.2515411376953,Crossborder,2025-07-05,2025-07-14,38000.0
0.0,0.0,Cliente 60,Carrier 19,Luis Navarro,"San Nicolás de los Garza,  Nuevo León","Berwick,  Pennsylvania",2791.1274277998155,DryVan 53,-328.0090026855468,Crossborder,2024-11-25,2024-12-02,129087.0
0.0,0.0,Cliente 98,Carrier 179,Jessica Hernández,"Tepotzotlán,  Estado de México","Laredo,  Texas",866.1999217619186,DryVan 53,-2126.2515411376953,Crossborder,2025-05-30,2025-06-10,38000.0
0.0,0.0,Cliente 127,Carrier 11,Jessica Hernández,"San Luis Potosí,  San Luis Potosí","Oklahoma City,  Oklahoma",1518.188743264285,DryVan 53,-1500.8930358886719,Crossborder,2025-07-24,2025-07-28,58495.5
1.0,1.0,Cliente 74,Carrier 196,Luis Navarro,"Ramos Arizpe,  Coahuila de Zaragoza","Laredo,  Texas",262.4230243041982,DryVan 53,-1286.2001495361333,Crossborder,2025-11-25,2025-11-26,4625.0
0.0,0.0,Cliente 1,Carrier 3,Eduardo Chaim,"Zapopan,  Jalisco","Firestone,  Colorado",2166.502508483874,DryVan 53,-113.927490234375,Crossborder,2024-12-09,2025-01-03,137564.0
0.0,0.0,Cliente 46,Carrier 55,Jessica Hernández,"Laredo,  Texas","Tultepec,  Estado de México",870.1384087549548,DryVan / Reefer,2120.5672149658203,Crossborder,2026-01-07,2026-01-14,39534.0
0.0,0.0,Cliente 180,Carrier 13,Jesus Velazquez,"Portage,  Indiana","Saltillo,  Coahuila de Zaragoza",2197.4588949346607,DryVan 53,1348.0980834960938,Crossborder,2025-12-01,2025-12-07,53282.1
0.0,0.0,Cliente 135,Carrier 206,Blanca Rodríguez,"Laredo,  Texas","San Francisco de los Romo,  Aguascalientes",665.0021026158871,DryVan 53,1759.7716827392574,Crossborder,2025-03-14,2025-03-24,20080.0
0.0,1.0,Cliente 147,Carrier 99,Fabián Gamboa,"Winston-Salem,  North Carolina","Laredo,  Texas",2050.5778825531384,DryVan 53,-146.0210723876953,Crossborder,2025-12-03,2025-12-05,0.0
0.0,0.0,Cliente 47,Carrier 126,Eduardo Chaim,"San Pedro Tlaquepaque,  Jalisco","Laredo,  Texas",860.0419053630932,DryVan 53,-1435.5626983642574,Crossborder,2025-06-17,2025-06-25,47275.0
0.0,0.0,Cliente 6,Carrier 15,Blanca Rodríguez,"Apodaca,  Nuevo León","Chicago,  Illinois",2128.298488410208,DryVan 53,-247.63003540039062,Crossborder,2024-10-21,2024-10-25,83286.0
0.0,0.0,Cliente 79,Carrier 290,Eduardo Chaim,"Querétaro,  Querétaro","Laredo,  Texas",774.0799893868688,DryVan 53,-1686.8664093017574,Crossborder,2025-10-29,2025-11-04,34058.5
0.0,0.0,Cliente 100,Carrier 1,Blanca Rodríguez,"San Luis Potosí,  San Luis Potosí","Iowa,  Louisiana",1198.6994654376554,DryVan 53,-1858.695411682129,Crossborder,2025-08-20,2025-08-29,63920.0
0.0,0.0,Cliente 4,Carrier 2,Luis Ortiz,"Mexicali,  Baja California","Salinas,  California",724.9325922884445,DryVan 53,11.019532680511475,Crossborder,2025-03-21,2025-03-27,38418.0
0.0,0.0,Cliente 46,Carrier 306,Jessica Hernández,"Laredo,  Texas","Tepotzotlán,  Estado de México",866.1999217619186,DryVan 53,2126.2515411376953,Crossborder,2025-12-09,2025-12-17,24000.0
0.0,0.0,Cliente 4,Carrier 2,Luis Ortiz,"Mexicali,  Baja California","Salinas,  California",724.9325922884445,DryVan 53,11.019532680511475,Crossborder,2025-05-29,2025-06-02,36860.0
0.0,0.0,Cliente 150,Carrier 4,Jessica Hernández,"Naucalpan de Juárez,  Estado de México","Wauwatosa,  Wisconsin",2824.133353611965,DryVan 53,-2063.7801971435547,Crossborder,2025-11-29,2025-12-22,105282.5
0.0,0.0,Cliente 100,Carrier 248,Blanca Rodríguez,"Iowa,  Louisiana","Querétaro,  Querétaro",1302.8626634897043,DryVan 53,1809.329322814941,Crossborder,2025-07-15,2025-07-23,49688.25
0.0,0.0,Cliente 4,Carrier 2,Luis Ortiz,"Mexicali,  Baja California","Salinas,  California",724.9325922884445,DryVan 53,11.019532680511475,Crossborder,2025-10-17,2025-10-24,36083.6
0.0,0.0,Cliente 2,Carrier 196,Luis Ortiz,"Tepeji del Río de Ocampo,  Hidalgo","Thomaston,  Georgia",2074.057084224039,DryVan 53,-1910.7312774658203,Crossborder,2025-10-24,2025-11-03,88320.0
0.0,0.0,Cliente 60,Carrier 281,Luis Navarro,"San Nicolás de los Garza,  Nuevo León","Laredo,  Texas",209.91248424421687,DryVan 53,-367.33982849121094,Crossborder,2025-10-21,2025-10-27,16560.0
0.0,0.0,Cliente 58,Carrier 178,Jessica Hernández,"Huehuetoca,  Estado de México","Chicago,  Illinois",2683.669626502698,Flatbed 53,-2071.43798828125,Crossborder,2025-01-24,2025-01-31,155983.5
0.0,1.0,Cliente 8,Carrier 145,Juan Rojas,"Ixtapaluca,  Estado de México","Muscle Shoals,  Alabama",2042.3889293901282,DryVan 53,-2091.1011810302734,Crossborder,2025-01-28,2025-02-06,120060.0
0.0,0.0,Cliente 133,Carrier 13,Jessica Hernández,"Urbana,  Ohio","Irapuato,  Guanajuato",2730.6836461259504,DryVan 53,1401.2258911132808,Crossborder,2025-11-12,2025-11-18,65071.5
0.0,0.0,Cliente 5,Carrier 33,Marco Martínez,"Tala,  Jalisco","Villahermosa,  Tabasco",1166.800496085521,DryVan 53,-1303.6867733001704,Crossborder,2025-03-07,2025-03-12,63000.0
0.0,0.0,Cliente 8,Carrier 4,Juan Rojas,"Ixtapaluca,  Estado de México","Russellville,  Kentucky",2274.1519773308764,DryVan 53,-2061.9651641845703,Crossborder,2025-04-29,2025-05-12,117420.0
0.0,0.0,Cliente 127,Carrier 1,Jessica Hernández,"San Luis Potosí,  San Luis Potosí","Oklahoma City,  Oklahoma",1518.188743264285,DryVan 53,-1500.8930358886719,Crossborder,2026-01-15,2026-01-22,53460.0
0.0,0.0,Cliente 150,Carrier 8,Jessica Hernández,"Naucalpan de Juárez,  Estado de México","Wauwatosa,  Wisconsin",2824.133353611965,DryVan 53,-2063.7801971435547,Crossborder,2025-09-24,2025-10-08,108088.0
0.0,0.0,Cliente 1,Carrier 13,Eduardo Chaim,"Zapopan,  Jalisco","Oakwood,  Georgia",2438.7488537336644,DryVan 53,-1278.5425109863281,Crossborder,2026-01-13,2026-02-03,98505.0
1.0,1.0,Cliente 60,Carrier 29,Juan Rojas,"San Nicolás de los Garza,  Nuevo León","Laredo,  Texas",209.91248424421687,Hazmat 53,-367.33982849121094,Crossborder,2025-12-01,2025-12-08,6408.5
0.0,0.0,Cliente 127,Carrier 145,Jessica Hernández,"San Luis Potosí,  San Luis Potosí","Danville,  Illinois",2361.497241900643,DryVan 53,-1683.1098327636719,Crossborder,2025-04-07,2025-04-14,91225.0
0.0,0.0,Cliente 58,Carrier 9,Jessica Hernández,"Laotto,  Indiana","Huehuetoca,  Estado de México",2729.180635545991,DryVan 53,1988.3028259277344,Crossborder,2025-04-16,2025-05-02,78078.0
0.0,0.0,Cliente 135,Carrier 206,Blanca Rodríguez,"Laredo,  Texas","San Francisco de los Romo,  Aguascalientes",665.0021026158871,DryVan 53,1759.7716827392574,Crossborder,2025-07-01,2025-07-08,18830.0
0.0,0.0,Cliente 100,Carrier 224,Blanca Rodríguez,"San Luis Potosí,  San Luis Potosí","Iowa,  Louisiana",1198.6994654376554,DryVan 53,-1858.695411682129,Crossborder,2025-08-20,2025-09-02,63920.0
0.0,0.0,Cliente 27,Carrier 13,Jessica Hernández,"Apodaca,  Nuevo León","Wilmington,  Delaware",2763.409722789547,DryVan 53,-400.3531970977783,Crossborder,2025-01-24,2025-01-29,114299.5
0.0,0.0,Cliente 8,Carrier 1,Juan Rojas,"Celaya,  Guanajuato","Muscle Shoals,  Alabama",2039.1601989552867,DryVan 53,-1606.7753753662105,Crossborder,2025-01-02,2025-01-10,108108.0
0.0,0.0,Cliente 135,Carrier 206,Blanca Rodríguez,"Laredo,  Texas","San Francisco de los Romo,  Aguascalientes",665.0021026158871,DryVan 53,1759.7716827392574,Crossborder,2025-05-06,2025-05-10,19640.0
0.0,0.0,Cliente 6,Carrier 12,Blanca Rodríguez,"Apodaca,  Nuevo León","Burlington,  Ontario",2686.157057567102,DryVan 53,-343.24935150146484,Crossborder,2025-11-12,2025-11-18,84318.0
0.0,0.0,Cliente 1,Carrier 3,Eduardo Chaim,"Zapopan,  Jalisco","High Point,  North Carolina",2839.916276657975,DryVan 53,-1348.6465148925781,Crossborder,2025-03-03,2025-03-17,127162.0
0.0,0.0,Cliente 1,Carrier 3,Eduardo Chaim,"Zapopan,  Jalisco","Oakwood,  Georgia",2438.7488537336644,DryVan 53,-1278.5425109863281,Crossborder,2025-01-23,2025-02-14,118105.0
1.0,0.0,Cliente 30,Carrier 118,Luis Navarro,"Livermore,  California","Pesquería,  Nuevo León",2433.1518488501893,DryVan 53,182.04328918457028,Crossborder,2025-06-10,2025-06-21,84817.0
0.0,0.0,Cliente 60,Carrier 29,Luis Navarro,"San Nicolás de los Garza,  Nuevo León","Laredo,  Texas",209.91248424421687,Hazmat 53,-367.33982849121094,Crossborder,2025-10-21,2025-10-30,28520.0
0.0,0.0,Cliente 127,Carrier 13,Jessica Hernández,"San Luis Potosí,  San Luis Potosí","Danville,  Illinois",2361.497241900643,DryVan 53,-1683.1098327636719,Crossborder,2026-01-02,2026-01-08,73800.0
0.0,0.0,Cliente 5,Carrier 126,Marco Martínez,"Tala,  Jalisco","Laredo,  Texas",872.0569720164489,DryVan 53,-1194.9743194580074,Crossborder,2025-01-30,2025-02-11,47311.0
0.0,0.0,Cliente 47,Carrier 55,Eduardo Chaim,"San Pedro Tlaquepaque,  Jalisco","Laredo,  Texas",860.0419053630932,DryVan 53,-1435.5626983642574,Crossborder,2025-03-19,2025-03-27,45954.0
1.0,1.0,Cliente 8,Carrier 97,Juan Rojas,"Puebla,  Puebla","Russellville,  Kentucky",2266.311064865554,DryVan 53,-1965.5052032470703,Crossborder,2025-01-15,2025-01-28,121856.0
1.0,0.0,Cliente 174,Carrier 55,Blanca Rodríguez,"Laredo,  Texas","Azcapotzalco,  Ciudad de México",892.2522483110752,DryVan 53,2118.2552032470703,Crossborder,2025-12-05,2025-12-11,36642.48
0.0,0.0,Cliente 47,Carrier 306,Eduardo Chaim,"San Pedro Tlaquepaque,  Jalisco","Laredo,  Texas",860.0419053630932,DryVan 53,-1435.5626983642574,Crossborder,2026-02-03,2026-02-06,39859.0
0.0,1.0,Cliente 98,Carrier 222,Jessica Hernández,"Tepotzotlán,  Estado de México","Laredo,  Texas",866.1999217619186,DryVan 53,-2126.2515411376953,Crossborder,2025-07-18,2025-07-24,38000.0
0.0,0.0,Cliente 67,Carrier 16,Eduardo Chaim,"Napa,  California","Arandas,  Jalisco",2735.5929945376984,DryVan 53,2060.6735582351685,Crossborder,2025-02-27,2025-03-05,99596.25
0.0,0.0,Cliente 80,Carrier 196,Jessica Hernández,"Laredo,  Texas","Apodaca,  Nuevo León",203.53235822864582,DryVan 53,301.39524841308594,Crossborder,2025-06-25,2025-06-30,12369.5
0.0,0.0,Cliente 79,Carrier 24,Eduardo Chaim,"General Escobedo,  Nuevo León","Laredo,  Texas",205.59021144540438,DryVan 53,-369.9115142822265,Crossborder,2024-11-06,2024-11-13,18749.75
0.0,0.0,Cliente 5,Carrier 3,Marco Martínez,"Tala,  Jalisco","Laredo,  Texas",872.0569720164489,DryVan 53,-1194.9743194580074,Crossborder,2025-04-24,2025-05-02,45149.0
0.0,2.0,Cliente 5,Carrier 152,Marco Martínez,"Tala,  Jalisco","Laredo,  Texas",872.0569720164489,DryVan 53,-1194.9743194580074,Crossborder,2025-07-18,2025-07-28,41294.0
0.0,0.0,Cliente 2,Carrier 175,Luis Ortiz,"Tepeji del Río de Ocampo,  Hidalgo","Trion,  Georgia",2133.9451471393195,DryVan 53,-1938.6688842773438,Crossborder,2025-09-20,2025-09-29,88272.0
0.0,0.0,Cliente 4,Carrier 2,Luis Ortiz,"Mexicali,  Baja California","Imperial,  California",27.410843238846564,DryVan 53,-25.047033786773685,Crossborder,2025-09-19,2025-09-24,6426.0
0.0,0.0,Cliente 150,Carrier 4,Jessica Hernández,"Naucalpan de Juárez,  Estado de México","Wauwatosa,  Wisconsin",2824.133353611965,DryVan 53,-2063.7801971435547,Crossborder,2025-10-27,2025-12-01,105742.5
0.0,0.0,Cliente 4,Carrier 2,Luis Ortiz,"Mexicali,  Baja California","Imperial,  California",27.410843238846564,DryVan 53,-25.047033786773685,Crossborder,2025-09-25,2025-10-01,6450.5
0.0,0.0,Cliente 127,Carrier 13,Jessica Hernández,"San Luis Potosí,  San Luis Potosí","Danville,  Illinois",2361.497241900643,DryVan 53,-1683.1098327636719,Crossborder,2025-11-26,2025-12-08,75563.0
0.0,0.0,Cliente 6,Carrier 229,Blanca Rodríguez,"Apodaca,  Nuevo León","Burlington,  Ontario",2686.157057567102,DryVan 53,-343.24935150146484,Crossborder,2025-05-08,2025-05-12,90114.0
0.0,0.0,Cliente 79,Carrier 55,Eduardo Chaim,"Querétaro,  Querétaro","Laredo,  Texas",774.0799893868688,DryVan 53,-1686.8664093017574,Crossborder,2025-06-20,2025-07-02,37225.5
0.0,0.0,Cliente 80,Carrier 216,Jessica Hernández,"Laredo,  Texas","Apodaca,  Nuevo León",203.53235822864582,DryVan 53,301.39524841308594,Crossborder,2025-12-12,2025-12-17,11732.5
0.0,0.0,Cliente 2,Carrier 13,Luis Ortiz,"Tepeji del Río de Ocampo,  Hidalgo","Rockingham,  North Carolina",2545.274440722967,DryVan 53,-2054.114082336426,Crossborder,2025-11-07,2025-11-14,110789.0
0.0,0.0,Cliente 4,Carrier 2,Luis Ortiz,"Mexicali,  Baja California","Imperial,  California",27.410843238846564,DryVan 53,-25.047033786773685,Crossborder,2026-01-13,2026-01-15,6247.5
0.0,0.0,Cliente 100,Carrier 117,Blanca Rodríguez,"Tultitlán,  Estado de México","Iowa,  Louisiana",1331.039535215745,DryVan 53,-2239.317726135254,Crossborder,2025-11-24,2025-12-04,74925.0
0.0,0.0,Cliente 1,Carrier 19,Eduardo Chaim,"Chipilo,  Puebla","Franklin Park,  Illinois",2734.1393741191196,DryVan 53,-1943.1766052246094,Crossborder,2025-01-17,2025-01-27,116312.0
0.0,0.0,Cliente 46,Carrier 327,Jessica Hernández,"Laredo,  Texas","Tultepec,  Estado de México",870.1384087549548,DryVan / Reefer,2120.5672149658203,Crossborder,2026-01-15,2026-01-23,39204.0
0.0,1.0,Cliente 47,Carrier 152,Eduardo Chaim,"San Pedro Tlaquepaque,  Jalisco","Laredo,  Texas",860.0419053630932,DryVan 53,-1435.5626983642574,Crossborder,2025-02-24,2025-03-10,50850.0
0.0,0.0,Cliente 60,Carrier 19,Luis Navarro,"San Nicolás de los Garza,  Nuevo León","Goose Creek,  South Carolina",2116.319819394402,DryVan 53,-486.50482082366943,Crossborder,2024-10-28,2024-11-01,94521.0
0.0,0.0,Cliente 127,Carrier 1,Jessica Hernández,"San Luis Potosí,  San Luis Potosí","Oklahoma City,  Oklahoma",1518.188743264285,DryVan 53,-1500.8930358886719,Crossborder,2026-02-06,2026-02-16,52230.0
0.0,0.0,Cliente 124,Carrier 13,Juan Rojas,"Douglas,  Georgia","Cuautla,  Morelos",2144.5781515455587,DryVan 53,1218.5415878295903,Crossborder,2025-10-07,2025-10-29,53215.0
0.0,0.0,Cliente 67,Carrier 140,Eduardo Chaim,"Arandas,  Jalisco","Laredo,  Texas",808.8835350945053,DryVan 53,-1937.7303009033203,Crossborder,2025-03-25,2025-04-03,44242.0
0.0,0.0,Cliente 2,Carrier 6,Luis Ortiz,"Laredo,  Texas","Tepeji del Río de Ocampo,  Hidalgo",845.0917659125754,DryVan 53,2010.9932403564453,Crossborder,2024-11-04,2024-11-07,25112.5
0.0,0.0,Cliente 1,Carrier 97,Eduardo Chaim,"Chipilo,  Puebla","Salt Lake City,  Utah",2741.664745615312,DryVan 53,-838.478881835938,Crossborder,2024-10-04,2024-10-14,272093.25
0.0,0.0,Cliente 46,Carrier 306,Jessica Hernández,"Laredo,  Texas","Tepotzotlán,  Estado de México",866.1999217619186,DryVan 53,2126.2515411376953,Crossborder,2025-11-28,2025-12-04,24000.0
2.0,0.0,Cliente 94,Carrier 19,Jessica Hernández,"San Pedro Tlaquepaque,  Jalisco","Bloomington,  California",2037.953272972309,DryVan 53,-1229.3331909179683,Crossborder,2025-11-05,2025-11-12,110214.93
0.0,0.0,Cliente 67,Carrier 222,Eduardo Chaim,"Arandas,  Jalisco","Laredo,  Texas",808.8835350945053,DryVan 53,-1937.7303009033203,Crossborder,2025-04-15,2025-04-19,44220.0
0.0,0.0,Cliente 46,Carrier 55,Jessica Hernández,"Laredo,  Texas","Tultepec,  Estado de México",870.1384087549548,DryVan / Reefer,2120.5672149658203,Crossborder,2026-01-15,2026-01-25,39204.0
0.0,0.0,Cliente 4,Carrier 2,Luis Ortiz,"Mexicali,  Baja California","Imperial,  California",27.410843238846564,DryVan 53,-25.047033786773685,Crossborder,2026-01-19,2026-01-21,6191.5
0.0,0.0,Cliente 135,Carrier 206,Blanca Rodríguez,"Laredo,  Texas","San Francisco de los Romo,  Aguascalientes",665.0021026158871,DryVan 53,1759.7716827392574,Crossborder,2025-10-30,2025-11-06,18410.0
0.0,0.0,Cliente 8,Carrier 4,Juan Rojas,"Ixtapaluca,  Estado de México","Russellville,  Kentucky",2274.1519773308764,DryVan 53,-2061.9651641845703,Crossborder,2025-01-08,2025-01-16,117972.0
0.0,0.0,Cliente 6,Carrier 97,Blanca Rodríguez,"Apodaca,  Nuevo León","Levittown,  Pennsylvania",2838.698648355728,DryVan 53,-419.6920690536499,Crossborder,2024-11-28,2024-12-02,115584.0
0.0,0.0,Cliente 4,Carrier 2,Luis Ortiz,"Mexicali,  Baja California","Salinas,  California",724.9325922884445,DryVan 53,11.019532680511475,Crossborder,2025-09-08,2025-09-10,36573.6
0.0,0.0,Cliente 127,Carrier 12,Jessica Hernández,"San Luis Potosí,  San Luis Potosí","Montreal,  Quebec",3591.776587324161,DryVan 53,-1829.2375030517578,Crossborder,2025-04-29,2025-05-14,111157.6
0.0,0.0,Cliente 4,Carrier 2,Luis Ortiz,"Mexicali,  Baja California","Imperial,  California",27.410843238846564,DryVan 53,-25.047033786773685,Crossborder,2025-07-18,2025-07-24,6569.5
0.0,0.0,Cliente 60,Carrier 29,Luis Navarro,"San Nicolás de los Garza,  Nuevo León","Laredo,  Texas",209.91248424421687,Hazmat 53,-367.33982849121094,Crossborder,2025-07-08,2025-07-15,28938.5
0.0,0.0,Cliente 1,Carrier 3,Eduardo Chaim,"Zapopan,  Jalisco","Oakwood,  Georgia",2438.7488537336644,DryVan 53,-1278.5425109863281,Crossborder,2025-09-04,2025-09-15,102795.0
0.0,0.0,Cliente 4,Carrier 2,Luis Ortiz,"Mexicali,  Baja California","Salinas,  California",724.9325922884445,DryVan 53,11.019532680511475,Crossborder,2025-07-03,2025-07-08,36750.0
0.0,1.0,Cliente 100,Carrier 242,Blanca Rodríguez,"San Luis Potosí,  San Luis Potosí","Iowa,  Louisiana",1198.6994654376554,DryVan 53,-1858.695411682129,Crossborder,2025-10-21,2025-10-31,62560.0
1.0,1.0,Cliente 49,Carrier 134,Eduardo Chaim,"Ciudad de México,  Ciudad de México","Atlanta,  Georgia",2159.1632347530585,DryVan 53,-1912.0397644042969,Crossborder,2025-01-27,2025-02-07,110860.4
0.0,0.0,Cliente 127,Carrier 12,Jessica Hernández,"San Luis Potosí,  San Luis Potosí","Montreal,  Quebec",3591.776587324161,DryVan 53,-1829.2375030517578,Crossborder,2025-03-21,2025-03-31,114338.4
0.0,0.0,Cliente 98,Carrier 55,Jessica Hernández,"Tepotzotlán,  Estado de México","Laredo,  Texas",866.1999217619186,DryVan 53,-2126.2515411376953,Crossborder,2025-05-30,2025-06-09,38000.0
0.0,0.0,Cliente 180,Carrier 19,Luis Navarro,"Portage,  Indiana","Saltillo,  Coahuila de Zaragoza",2197.4588949346607,DryVan 53,1348.0980834960938,Crossborder,2025-10-24,2025-11-03,53544.0
